Iron chelating chemical used in bacterial siderophore studies .	Iron chelating chemical used in bacterial studies .
Advisors and Endorsements .	Advisors and endorsements .
Iowa advisor and former United States Senate candidate in 2002 Bill Salier .	Iowa advisor and former U.S. Senate candidate in 2002 Bill Salier .
The ad blames inept border security for the attack and flashes images of an injured child and and a wrecked train .	The ad blames inept border security for the attack and flashes images of an injured child and a wrecked train .
On December 20 , 2007 Tancredo withdrew from the presidential race , and endorsed Mitt Romney .	On December 20 , 2007 Tancredo withdrew from the presidential race , and died almost instantly .
Immediately following her endorsement she was named the Senior Advisor of the Campaign .	Immediately following her endorsement she was named the Senior Advisor of the campaign .
The biggest endorsement that Tancredo received was that of Bay Buchanan , the sister of perrenial presidential candidate Pat Buchanan and former Treasurer of the United States under President Ronald Reagan .	The biggest endorsement that Tancredo received was that of Bay Buchanan , the sister of perennial presidential candidate Pat Buchanan and former Treasurer of the United States under President Ronald Reagan .
Tancredo remarked that his campaign is not about winning the nomination but instead winning over people to his point of view in the race :	Tancredo remarked that his campaign was not about winning the nomination but instead winning over people to his point of view in the race :
In general polling , Tancredo faired far worse than in straw polls .	In general polling , Tancredo fared far worse than in straw polls .
During this debate he commented that the economic differences between African - Americans and Anglo - Americans has " nothing to do with race . "	During this debate he commented that the economic differences between African - Americans and Anglo - Americans have " nothing to do with race . "
It did peak at # 17 on the U.S. " Billboard " Adult Top 40 and entered the top 40 on Billboard 's Hot 100 Airplay chart .	It did peak at number 17 on the " Billboard " Adult Top 40 and entered the top 40 on " Billboard"s Hot 100 Airplay chart .
The music video for the single receive some rotation on the US music television stations MTV and VH1 .	The music video for the single received some rotation on the US music television stations MTV and VH1 .
Margaret Carver Leighton ( December 20 , 1896- June 19 , 1987 ) was an American children ’s author .	Margaret Carver Leighton ( December 20 , 1896 - June 19 , 1987 ) was an American children 's writer .
Leighton ’s husband died in 1935 .	Leighton 's husband died in 1935 .
The family soon moved to California , where she began to write children ’s books , inspired by her own children ’s antics .	The family soon moved to California , where she began to write children 's books , inspired by her own children 's antics .
She was a member of the Westfield , New Jersey , Board of Education from 1930 to 1934 , a member of the Santa Monica , California , Public Library Board of Trustees , the Authors League of America , and P.E.N. , serving as president at the Los Angeles center from 1957 - 1959 .	She was a member of the Westfield , New Jersey , Board of Education from 1930 to 1934 , a member of the Santa Monica Public Library Board of Trustees , the Authors League of America , and P.E.N. , serving as president at the Los Angeles center from 1957 - 1959 .
This was the last time the Green Ranger was seen until the " Return of an Old Fried " series .	This was the last time the Green Ranger was seen until the " Return of an Old Friend " series .
He then morphs into the Dinozord Megazord and exchanges hits with the Dragonzord .	He then morphs into the Megazord and exchanges hits with the Dragonzord .
It briefly morphs into the Dragonzord Battle Mode and the Tyrannosaurs Dinozord before knocking the Dragonzord down .	It briefly morphs into the Dragonzord in Battle Mode and the Tyrannosaurs Dinozord before knocking the Dragonzord down .
Tommy then enters the Dragonzord for the first time and knocks down Cyclops .	Tommy then enters the Dragonzord 's cockpit for the first time and knocks down Cyclops .
It briefly morphs into the Dragonzord in Battle Mode and the Tyrannosaurs Dinozord before knocking the Dragonzord down .	It briefly morphs into the Dragonzord in Battle Mode and then the Tyrannosaurs Dinozord before knocking the Dragonzord down .
She plans to use the Green Candle , which , when burned out , will give the Green Ranger power to Rita .	She plans to use the Green Candle , which , when it 's burned out , will give the Green Ranger powers back to Rita .
In the dark dimension , Goldar traps Tommy and attacks the Rangers .	In the dark dimension , Goldar traps Tommy and then attacks the Rangers .
At the lake , the Rangers find the location and set up the device , but are interrupted by Bulk and Skull , who claims that is their property and orders them to leave .	At the lake , the Rangers find the location and set up the device , but are interrupted by Bulk and Skull , who claim that is their property and order them to leave .
Tracking reports were forwarded daily to COMINCH ( Admiral Ernest King ) , with an appreciation of the probable German intentions .	Submarine estimates were forwarded daily to COMINCH ( Admiral Ernest King ) , with an appreciation of the probable German intentions .
Daily situation reports were also passed on and the u - boats’ advance was confirmed by the sinking of the ‘ ’Cyclops ’’ , 450 miles off the U.S. coast acted as confirmation of Winn ’s information .	Daily situation reports were also passed on and the u - boats’ advance was confirmed by the sinking of the " Cyclops " , 450 miles off the U.S. coast acted as confirmation of Winn ’s information .
Other available warships lay idle or were diverted : at least 25 destroyers of Atlantic Convoy Escort Command had been recalled to the US East Coast at the time of the first attacks , including seven at anchor in New York Harbour .	Available warships lay idle or were diverted : at least 21 destroyers of Atlantic Convoy Escort Command had been recalled to the US East Coast at the time of the first attacks , including seven at anchor in New York Harbour .
